code_region;region;code_ancienne_region;ancienne_region;code_departement;departement;grand_secteur_d_activite;annee;trimestre;dernier_jour_du_trimestre;effectifs_salaries_brut;a_jour;sexe_majoritaire
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;1999;3;30/09/1999;22201;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;1999;4;31/12/1999;21846;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2000;1;31/03/2000;21836;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2000;3;30/09/2000;23367;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2001;1;31/03/2001;22906;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2001;3;30/09/2001;24479;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2001;4;31/12/2001;23811;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2002;1;31/03/2002;24098;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2003;1;31/03/2003;24651;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2003;2;30/06/2003;25222;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2004;1;31/03/2004;24987;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2004;2;30/06/2004;25684;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2005;3;30/09/2005;26584;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2005;4;31/12/2005;25782;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2006;1;31/03/2006;25514;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2006;2;30/06/2006;26641;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2006;4;31/12/2006;26292;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2008;2;30/06/2008;27326;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2009;3;30/09/2009;26841;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2010;3;30/09/2010;27109;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2010;4;31/12/2010;26529;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2011;1;31/03/2011;26281;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2011;2;30/06/2011;26762;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2011;4;31/12/2011;26291;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2012;1;31/03/2012;26640;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2012;3;30/09/2012;27329;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2014;3;30/09/2014;27706;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2014;4;31/12/2014;27436;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2017;2;30/06/2017;28882;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2017;4;31/12/2017;28139;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2018;4;31/12/2018;28640;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS5 Autres services marchands hors intérim;2019;3;30/09/2019;29630;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS6 Intérim;1998;1;31/03/1998;1345;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS6 Intérim;1998;4;31/12/1998;1304;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS6 Intérim;1999;2;30/06/1999;1948;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS6 Intérim;2001;1;31/03/2001;1964;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS6 Intérim;2001;4;31/12/2001;1993;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS6 Intérim;2003;3;30/09/2003;2109;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS6 Intérim;2004;1;31/03/2004;2378;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS6 Intérim;2004;4;31/12/2004;2310;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS6 Intérim;2005;3;30/09/2005;2689;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS6 Intérim;2006;1;31/03/2006;2861;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS6 Intérim;2006;3;30/09/2006;2812;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS6 Intérim;2007;2;30/06/2007;3396;Oui;M
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS6 Intérim;2007;3;30/09/2007;2886;Oui;F
76;Occitanie;91;Languedoc-Roussillon;66;Pyrénées-Orientales;GS6 Intérim;2008;1;31/03/2008;3062;Oui;M
