code_region;region;code_ancienne_region;ancienne_region;code_departement;departement;grand_secteur_d_activite;annee;trimestre;dernier_jour_du_trimestre;total_salaire_brut;a_jour
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2012;2;30/06/2012;8876631;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2012;4;31/12/2012;9451680;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2014;3;30/09/2014;9467713;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2015;1;31/03/2015;8758687;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2016;1;31/03/2016;8979474;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2016;2;30/06/2016;9622980;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2018;4;31/12/2018;10795366;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2019;1;31/03/2019;10270866;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2019;3;30/09/2019;11378746;Non
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2019;4;31/12/2019;11654981;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2020;2;30/06/2020;4765507;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;1998;1;31/03/1998;68916186;Non
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;1998;3;30/09/1998;71681734;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;1998;4;31/12/1998;77980488;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;1999;1;31/03/1999;73837879;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;1999;3;30/09/1999;78014627;Oui
